10000001	['100000187', '100000267', '100000425', '100000444', '100000616', '100000694', '100000724', '100000828', '100000828', '100001068', '100001397', '100001730', '100001895', '100001919', '100002126', '100002228', '100002368', '100002669', '100002693', '100002693', '100002693', '100002799', '100002926', '100003110', '100003282', '100004223', '100004350', '100004624', '100004624', '100004624', '100004712', '100005079', '100005156', '100005398', '100005449', '100006279', '100006325', '100006386', '100006594', '100006690', '100006850', '100006873', '100007249', '100007332', '100007352', '100007369', '100007376', '100007789', '100007828', '100007828', '100008230', '100008230', '100008230', '100008230', '100008230', '100008230', '100008253', '100008565', '100008667', '100008857', '100009023', '100009625', '100009629', '100010797', '100011008', '100012670', '100012670', '100013292', '100013482', '100013544', '100013651', '100013728', '100013990', '100014738', '100014749', '100015523', '100015591', '100016052', '100016065', '100016136', '100017153', '100017392', '100017867', '100017874', '100018270', '100018312', '100018325', '100018392', '100018597', '100019028', '100019231', '100019280', '100019364', '100019660', '100019886', '100020049', '100020603', '100020621', '100021638', '100022353', '100022551', '100022650', '100022668', '100022969', '100023319', '100023604', '100023802', '100023802', '100024468', '100024877', '100025279', '100025448', '100025485', '100025775', '100025836', '100025836', '100025993', '100026097', '100026273', '100026359', '100026359', '100027047', '100027155', '100027371', '100027718', '100027746', '100027859', '100027996', '100028295', '100028301', '100028554', '100028658', '100028835', '100028874', '100028925', '100029039', '100029557', '100029631', '100029653', '100029666', '100029694', '100029839', '100029938', '100030010', '100030181', '100030226', '100030330', '100030343', '100030543', '100030650', '100030689', '100030698', '100030851', '100030899', '100030963', '100031002', '100031024', '100031264', '100031465', '100031468', '100031468', '100031587', '100031609', '100031642', '100031649', '100031685', '100031741', '100031769', '100031772', '100031806', '100031854', '100031906', '100032060', '100032122', '100032132', '100032166', '100032297', '100032297', '100032434', '100032454', '100032638', '100032666', '100032714', '100032757', '100032778', '100032873', '100032873', '100032941', '100033120', '100033131', '100033140', '100033235', '100033235', '100033350', '100033392', '100033520', '100033757', '100033919', '100034105', '100034273', '100035408', '100035914', '100036721', '100036994', '100037063', '100037130', '100037298', '100037378', '100037670', '100037748', '100037748', '100037992', '100040534', '100041454', '100041733', '100041814', '100041867', '100042579', '100043135', '100044418', '100045621', '100046433', '100046448', '100047506', '100049327', '100050598', '100053431', '100053901', '100060281', '100060547', '100062710', '100062808', '100062946', '100062996', '100063007', '100063059', '100063733', '100064136', '100064219', '100064636', '100065234', '100066846', '100067312', '100067969', '100068051', '100068159', '100068365', '100070004', '100070293', '100071616', '100071887', '100072148', '100072340', '100072613', '100072698', '100072703', '100072974', '100075743', '100075743', '100076184', '100078388', '100078479', '100078542', '100079832', '100080443', '100081260', '100082263', '100082540', '100082611', '100082748', '100082781', '100083508', '100084370', '100086476', '100088203', '100088493', '100088782', '100090113', '100093390', '100095078', '100095290', '100095368', '100095772', '100096769', '100096783', '100096831', '100096994', '100096999', '100097125', '100097165', '100097706', '100098546', '100098987', '100101996', '100102000', '100102001', '100102004', '100102008', '100102009', '100102015', '100102035', '100102051', '100102054', '100102065', '100102095', '100102109', '100102124', '100102159', '100102179', '100102181', '100102198', '100102204', '100102216', '100102218', '100102223', '100102225', '100102252', '100102258', '100102261', '100102275', '100102288', '100102296', '100102326', '100102327', '100102331', '100102364', '100102412', '100102417', '100102419', '100102422', '100102425', '100102430', '100102450', '100102480', '100102480', '100102483', '100102497', '100102506', '100102529', '100102535', '100102538', '100102545', '100102547', '100102548', '100102550', '100102565', '100102584', '100102593', '100102597', '100102600', '100102603', '100102615', '100102619', '100102626', '100102647', '100102658', '100102662', '100102674', '100102676', '100102682', '100102743', '100102754', '100102756', '100102769', '100102781', '100102789', '100102820', '100102825', '100102894', '100102915', '100102920', '100102932', '100102934', '100102953', '100102955', '100102958', '100102968', '100102972', '100102982', '100102997', '100103070', '100103076', '100103080', '100103085', '100103089', '100103091', '100103098', '100103124', '100103144', '100103176', '100103191', '100103220', '100103263', '100103296', '100103306', '100103327', '100103365', '100103383', '100103392', '100103394', '100103416', '100103422', '100103424', '100103453', '100103471', '100103481', '100103534', '100103542', '100103548', '100103561', '100103579', '100103599', '100103604', '100103642', '100103643', '100103681', '100103705', '100103708', '100103720', '100103730', '100103777', '100103822', '100103824', '100103881', '100103933', '100103945', '100103963', '100103982', '100104002', '100104018', '100104020', '100104028', '100104035', '100104097', '100104116', '100104142', '100104147', '100104158', '100104178', '100104206', '100104245', '100104265', '100104272', '100104272', '100104274', '100104282', '100104292', '100104293', '100104298', '100104317', '100104328', '100104402', '100104418', '100104477', '100104541', '100104576', '100104580', '100104594', '100104666', '100104670', '100104672', '100104692', '100104706', '100104769', '100104780', '100104799', '100104849', '100104854', '100104880', '100104893', '100104927', '100104939', '100104956', '100104958', '100105021', '100105021', '100105043', '100105108', '100105164', '100105178', '100105208', '100105221', '100105222', '100105339', '100105393', '100105438', '100105458', '100105460', '100105527', '100105558', '100105568', '100105652', '100105654', '100105788', '100105850', '100105921', '100105947', '100105969', '100105972', '100106006', '100106159', '100106160', '100106183', '100106184', '100106199', '100106215', '100106296', '100107198', '100108974', '100108976', '100109831', '100110861', '100111075', '100111115']
10000002	['100000075', '100000075', '100000722', '100001730', '100001730', '100002368', '100003282', '100003282', '100005113', '100006386', '100006690', '100006873', '100006873', '100008009', '100008230', '100008230', '100008230', '100008230', '100008230', '100009091', '100011294', '100011945', '100015327', '100016052', '100017867', '100022806', '100022806', '100022806', '100022806', '100022806', '100023802', '100023802', '100023802', '100023802', '100027371', '100027371', '100029039', '100031854', '100033603', '100042311', '100045976', '100054429', '100060150', '100068372', '100068372', '100068372', '100088782', '100102538', '100102717', '100103091']
10000006	['100001730', '100027424', '100027859', '100027859']
10000007	['100001280', '100001280', '100001280', '100001280', '100005156', '100005156', '100005156', '100005156', '100005156', '100005156', '100005156', '100005156', '100005156', '100005156', '100006690', '100006690', '100006690', '100007828', '100007828', '100017178', '100017178', '100017178', '100023538', '100023802', '100027424', '100033246', '100033246', '100033246', '100033246', '100033246', '100033246', '100033443', '100064325', '100095772', '100105849', '100106283']
1000001	['100001238', '100005361', '100006204', '100007518', '100008401', '100008802', '100009550', '100010363', '100010797']
10000016	['100008072', '100037992', '100037992']
10000018	['100000032', '100003282', '100008668', '100027424', '100027424']
1000003	['100008672', '100008710', '100008734']
10000033	['100000359', '100000533', '100000724', '100001085', '100001085', '100001360', '100001536', '100001730', '100001924', '100002658', '100002874', '100003449', '100004382', '100004534', '100005724', '100006391', '100007117', '100007140', '100007662', '100008270', '100008409', '100008857', '100008857', '100008857', '100008880', '100009887', '100010797', '100010797', '100010854', '100011101', '100011294', '100011309', '100013104', '100014497', '100015469', '100016119', '100017739', '100018039', '100018270', '100018947', '100019294', '100019294', '100021623', '100021638', '100023538', '100023538', '100023538', '100023745', '100023745', '100023802', '100023802', '100025020', '100025197', '100025197', '100025279', '100027046', '100027273', '100027424', '100027424', '100027424', '100027424', '100030612', '100030612', '100030612', '100031390', '100032732', '100033980', '100036481', '100045976', '100059960', '100060820', '100063107', '100063685', '100068111', '100070334', '100073620', '100073620', '100074928', '100083878', '100084000', '100099002', '100102721', '100103379', '100103445', '100103483', '100103483', '100103712', '100104018', '100104666', '100105467', '100105467', '100106372']
10000036	['100001895', '100006386', '100008270', '100010797', '100023651', '100027424', '100033083', '100045297', '100060281', '100066784', '100066784', '100098546', '100103383', '100103963']
1000004	['100000003', '100000633', '100000969', '100001238', '100002147', '100005361', '100007518', '100008717', '100008867', '100008937', '100008951', '100009436', '100009436', '100009448', '100009550', '100009550', '100009575', '100009805', '100009805', '100009805', '100010638', '100010797', '100010797', '100011813', '100011813', '100011813']
10000042	['100105620']
10000048	['100013728', '100013728', '100013728', '100027424', '100027424']
10000058	['100001924', '100019028', '100026893', '100027424', '100077121', '100102496', '100106160']
