Albuquerque	10052311.42	40345
Anaheim	10076416.36	40086
Anchorage	9933500.4	39806
Arlington	10072207.97	40348
Atlanta	9997146.7	40168
Aurora	9992970.92	39808
Austin	10057158.9	40332
Bakersfield	10031208.92	40326
Baltimore	10096521.45	40196
Baton Rouge	10131273.23	40387
Birmingham	10076606.52	40253
Boise	10039166.74	40203
Boston	10039473.28	40338
Buffalo	10001941.19	40053
Chandler	9919559.86	39826
Charlotte	10112531.34	40509
Chesapeake	10038504.92	40288
Chicago	10062522.07	40220
Chula Vista	9974951.34	40080
Cincinnati	10139505.74	40452
Cleveland	10067835.84	40313
Colorado Springs	10061105.87	40389
Columbus	10035241.03	40225
Corpus Christi	9976522.77	39925
Dallas	10066548.45	40368
Denver	10031534.87	40199
Detroit	9979260.76	39999
Durham	10153890.21	40501
El Paso	10016409.97	39882
Fort Wayne	10132594.02	40439
Fort Worth	10120830.65	40336
Fremont	10053242.36	40219
Fresno	9976260.26	40043
Garland	10071043.92	40185
Gilbert	10062115.19	40277
Glendale	10044493.97	40264
Greensboro	10033781.39	40232
Henderson	10053416.05	40194
Hialeah	10047052.76	40312
Honolulu	10006273.49	39944
Houston	10042106.27	40114
Indianapolis	10090272.77	40321
Irvine	10084867.45	40325
Irving	10133944.08	40352
Jacksonville	10072003.33	40400
Jersey City	9920141.87	39612
Kansas City	9968118.73	39713
Laredo	10144604.98	40342
Las Vegas	10054257.98	40165
Lexington	10084510.95	40343
Lincoln	10069485.4	40345
Long Beach	10006380.25	39942
Los Angeles	10084576.8	40254
Louisville	10008566.47	40099
Lubbock	9958119.15	39837
Madison	10032035.54	40177
Memphis	10038565.32	40222
Mesa	10053642.6	40207
Miami	9947316.07	39935
Milwaukee	10064482.65	40316
Minneapolis	10011757.78	39991
Nashville	9961450.51	39854
Newark	10144052.8	40577
New Orleans	9949257.75	39914
New York	10085293.55	40364
Norfolk	10088563.17	40231
North Las Vegas	10029652.51	40013
Oakland	9947292.52	39728
Oklahoma City	10118986.25	40446
Omaha	10026642.34	40209
Orlando	10074922.52	40195
Philadelphia	10190080.26	40748
Phoenix	10079076.7	40333
Pittsburgh	10090124.82	40358
Plano	10046103.61	40170
Portland	10007635.77	40065
Raleigh	10061442.54	40261
Reno	10079955.16	40254
Richmond	9992941.59	39983
Riverside	10006695.42	39963
Rochester	10067606.92	40455
Sacramento	10123468.18	40561
Saint Paul	10057233.57	40160
San Antonio	10014441.7	40197
San Bernardino	9965152.04	40041
San Diego	9966038.39	39901
San Francisco	9995570.54	39983
San Jose	9936721.41	39898
Santa Ana	10050309.93	40306
Scottsdale	10037929.85	40173
Seattle	9936267.37	39866
Spokane	10083362.98	40222
St. Louis	10002105.14	39982
Stockton	10006412.64	39996
St. Petersburg	9986495.54	40093
Tampa	10106428.55	40136
Toledo	10020768.88	40139
Tucson	9998252.47	39870
Tulsa	10064955.9	40247
Virginia Beach	10086553.5	40169
Washington	10139363.39	40503
Wichita	10083643.21	40422
Winston–Salem	10044011.83	40208
