100000000	09
100000002	04
100000003	05
100000005	01
100000007	03
100000008	02
100000009	02
100000011	03
100000014	04
100000016	23
100000017	05
100000017	22
100000018	02
100000018	03
100000018	11
100000018	16
100000018	19
100000019	05
100000020	05
100000022	17
100000023	03
100000025	03
100000028	04
100000030	14
100000031	03
100000032	01
100000032	04
100000032	19
100000036	04
100000039	04
100000044	05
100000045	04
100000046	05
100000048	04
100000049	14
100000050	04
100000051	23
100000052	01
100000052	12
100000053	00
100000053	06
100000053	16
100000053	17
100000054	02
100000054	03
100000054	18
100000055	04
100000055	05
100000055	06
100000055	17
100000055	18
100000055	22
100000056	02
100000056	12
100000056	16
100000057	08
100000058	04
100000058	17
100000059	06
100000059	17
100000060	04
100000061	04
100000062	18
100000063	09
100000064	04
100000064	05
100000065	00
100000065	03
100000065	04
100000065	23
100000066	05
100000067	11
100000068	17
100000068	18
100000068	19
100000069	16
100000070	21
100000071	04
100000072	05
100000073	02
100000073	21
100000074	00
100000075	02
100000076	04
100000076	17
100000077	13
100000078	23
100000079	04
100000080	06
100000081	05
100000081	17
100000081	18
100000082	03
100000082	04
100000082	05
100000083	15
100000083	17
100000084	02
100000084	17
100000085	23
100000086	02
100000086	04
100000086	18
100000086	22
100000086	23
100000087	05
100000088	00
100000088	12
100000089	01
100000089	07
100000089	14
100000089	21
100000090	01
100000091	04
100000092	01
100000092	02
100000093	06
100000094	03
100000097	05
100000098	16
100000101	18
100000107	12
100000107	22
100000109	06
100000111	03
100000114	05
100000114	14
100000120	03
100000120	15
100000120	16
100000120	17
100000122	06
100000123	06
100000126	06
100000129	19
100000131	06
100000133	06
100000133	12
100000134	01
100000134	02
100000135	02
100000136	12
100000137	02
100000138	01
100000138	09
100000139	06
100000140	16
100000141	12
100000142	05
100000143	04
100000144	02
100000144	16
100000145	18
100000146	17
100000146	23
100000147	03
100000147	05
100000147	06
100000147	17
100000148	11
100000149	06
100000150	01
100000151	03
100000152	05
100000152	17
100000153	04
100000154	04
100000154	07
100000155	06
100000156	00
100000156	02
100000156	05
100000156	19
100000157	21
100000159	01
100000160	05
100000161	06
100000162	02
100000163	08
100000163	15
100000164	02
100000165	06
100000166	05
100000167	19
100000169	21
100000169	22
100000170	01
100000171	06
100000172	06
100000173	00
100000173	04
100000173	22
100000174	04
100000174	16
100000175	06
100000176	16
100000177	04
100000177	07
100000178	18
100000179	11
100000180	01
100000184	03
100000185	00
100000186	15
100000187	13
100000189	01
100000189	08
100000190	01
100000190	08
100000190	11
100000190	12
100000191	12
100000191	13
100000191	18
100000192	23
100000193	04
100000194	16
100000195	01
100000195	11
100000196	09
100000197	14
100000198	05
100000203	21
100000204	12
100000205	01
100000206	21
100000207	21
100000208	01
100000209	22
100000213	16
100000216	12
100000218	16
100000220	00
100000221	08
100000222	14
100000225	06
100000226	19
100000228	12
100000231	14
100000232	14
100000232	15
100000234	13
100000236	11
100000236	12
100000236	13
100000237	17
100000238	04
100000239	02
100000239	06
100000239	21
100000240	14
100000240	16
100000241	01
100000242	14
100000243	01
100000244	16
100000245	01
100000246	13
100000246	22
100000247	12
100000248	11
100000249	03
100000250	02
100000251	02
100000252	02
100000253	01
100000254	16
100000255	13
100000256	11
100000257	22
100000258	01
100000258	02
100000259	04
100000259	05
100000259	07
100000259	13
100000260	13
100000261	02
100000262	21
100000262	22
100000263	00
100000264	02
100000265	15
100000265	21
100000266	02
100000266	18
100000266	19
100000267	14
100000268	03
100000269	15
100000269	16
100000269	19
100000270	13
100000271	06
100000272	21
100000273	12
100000274	07
100000278	21
100000280	08
100000280	12
100000280	13
100000280	14
100000283	12
100000284	15
100000285	18
100000286	18
100000288	14
100000290	13
100000290	17
100000291	14
100000294	09
100000295	09
100000296	01
100000299	15
100000301	15
100000303	15
100000304	01
100000307	01
100000309	01
100000309	15
100000309	18
100000310	14
100000310	18
100000312	02
100000312	12
100000314	06
100000315	03
100000319	15
100000320	15
100000320	18
100000322	14
100000323	03
100000324	01
100000324	12
100000325	01
100000327	07
100000327	14
100000328	15
100000329	19
100000330	14
100000331	08
100000332	16
100000333	00
100000334	19
100000335	01
100000336	18
100000337	16
100000338	13
100000339	02
100000339	14
100000339	17
100000340	17
100000341	02
100000342	02
100000342	12
100000343	22
100000344	00
100000345	16
100000346	01
100000347	07
100000348	16
100000349	12
100000350	11
100000350	22
100000351	19
100000352	07
100000352	11
100000352	19
100000353	23
100000354	11
100000354	23
